id;kvk;naam;type;identifier
0938596c-3b1e-4fbf-b506-4a3e9d49bd22;01059718;IJB Geotechniek B.V.;Overig;
cdfbf5b2-d146-410f-b850-a56d1ec23d37;01064412;Bouwconsults Nadema;Overig;
116a7ed8-eed3-40cd-b0a2-87919e2b839a;01088169;De Boer advies & Uitvoering;Overig;
8a9fbb55-d1d6-45d7-8894-432c6710aafb;01108276;Timmermans Landmeetkunde B.V.;Overig;
5c9447e5-98ec-4b94-a4d6-b210dcc95c77;01140749;Gemeente Aa en Hunze;Gemeente;GM1680
8381cda0-c724-4dc3-af03-a8d01089bbbf;01160183;Gemeente De Wolden;Gemeente;GM1690
02485b46-fd48-4e8c-b214-4b813bd599a9;01168951;Gemeente Franekeradeel;Overig;
d8c72b64-3de5-4181-a435-688f05477bf1;01169292;Gemeente Tynaarlo;Gemeente;GM1730
b7091fc7-2b1b-4147-98b2-4fbd0f3e6495;01169424;Gemeente Stadskanaal;Gemeente;GM0037
a433b29d-83dc-4af3-956a-88252319a0bc;01169679;Gemeente Tytsjerksteradiel;Gemeente;GM0737
616d1432-330a-44cd-ac88-1318c54e4187;01170341;Gemeente Winsum;Overig;
635ff2af-d798-40de-a8a5-dc94c11cc0ce;01171824;Gemeente Groningen (tot 2020);Overig;
820a2c00-e2d0-4c0b-aad8-0ea715211f0b;01172164;Gemeente Smallingerland;Gemeente;GM0090
8f01a2c0-fc0d-43fb-a0a6-40352161dd85;01172406;Gemeente De Marne;Overig;
da958673-4fd6-4a34-b01c-8b66233e6dc2;01172425;Gemeente Littenseradiel;Overig;
bcb31aa5-b221-4f5e-bbb3-25ba03ab9244;01172480;Gemeente Westerveld;Gemeente;GM1701
bf578dd6-6f41-43db-b6f7-0fe809234d90;01173197;Gemeente Coevorden;Gemeente;GM0109
a8a76808-b2e9-40b4-880a-d3c852d80d39;01173214;Gemeente Dongeradeel;Overig;
bcc451f9-78ff-451a-8793-4adc1c6edd37;01173230;Waterschap Hunze en Aa's;Waterschap;WS33
b6e449eb-0835-4b68-90c4-ef9db1415b19;01173331;Gemeente Schiermonnikoog;Gemeente;GM0088
